VCD info: dumpfile adder.vcd opened for output.
a[3] | a[2] | a[1] | a[0] | b[3] | b[2] | b[1] | b[0] | sum[3] | sum[3] exp | sum[2] | sum[2] exp | sum[1] | sum[1] exp | sum[0] | sum[0] exp | carryout | carryout exp | overflow | overflow exp | 
0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0      | 0          | 0      | 0          | 0      | 0          | 0      | 0          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 0    | 0    | 0    | 1    | 0      | 0          | 0      | 0          | 0      | 0          | 1      | 1          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 0    | 0    | 1    | 0    | 0      | 0          | 0      | 0          | 1      | 1          | 0      | 0          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 0    | 0    | 1    | 1    | 0      | 0          | 0      | 0          | 1      | 1          | 1      | 1          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 0    | 1    | 0    | 0    | 0      | 0          | 1      | 1          | 0      | 0          | 0      | 0          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 0    | 1    | 0    | 1    | 0      | 0          | 1      | 1          | 0      | 0          | 1      | 1          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 0    | 1    | 1    | 0    | 0      | 0          | 1      | 1          | 1      | 1          | 0      | 0          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 0    | 1    | 1    | 1    | 0      | 0          | 1      | 1          | 1      | 1          | 1      | 1          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 1    | 0    | 0    | 0    | 1      | 1          | 0      | 0          | 0      | 0          | 0      | 0          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 1    | 0    | 0    | 1    | 1      | 1          | 0      | 0          | 0      | 0          | 1      | 1          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 1    | 0    | 1    | 0    | 1      | 1          | 0      | 0          | 1      | 1          | 0      | 0          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 1    | 0    | 1    | 1    | 1      | 1          | 0      | 0          | 1      | 1          | 1      | 1          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 1    | 1    | 0    | 0    | 1      | 1          | 1      | 1          | 0      | 0          | 0      | 0          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 1    | 1    | 0    | 1    | 1      | 1          | 1      | 1          | 0      | 0          | 1      | 1          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 1    | 1    | 1    | 0    | 1      | 1          | 1      | 1          | 1      | 1          | 0      | 0          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 0    | 1    | 1    | 1    | 1    | 1      | 1          | 1      | 1          | 1      | 1          | 1      | 1          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 1    | 0    | 0    | 0    | 0    | 0      | 0          | 0      | 0          | 0      | 0          | 1      | 1          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 1    | 0    | 0    | 0    | 1    | 0      | 0          | 0      | 0          | 1      | 1          | 0      | 0          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 1    | 0    | 0    | 1    | 0    | 0      | 0          | 0      | 0          | 1      | 1          | 1      | 1          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 1    | 0    | 0    | 1    | 1    | 0      | 0          | 1      | 1          | 0      | 0          | 0      | 0          | 0        | 0            | 0        | 0            | 
0    | 0    | 0    | 1    | 0    | 1    | 0    | 0    | 0      | 0          | 1      | 1          | 0      | 0          | 1      | 1          | 0        | 0            | 0        | 0            | 
